task_id,workload,difficulty,ambiguity,decomposition_need,tool_need,code_need,delegation_need,verification_need,cost_budget,latency_budget_s
data_analysis-000,data_analysis,1,0.11358829360271774,0.2070599424819815,0.2587578776156253,0.7034113563865355,0.3975002938246377,0.3388184252534799,8.0,90.0
data_analysis-001,data_analysis,2,0.38434767751259397,0.5030153261925432,0.3407795109622737,0.8941866912415952,0.29640572742522403,0.7077694962046019,8.0,90.0
data_analysis-002,data_analysis,3,0.5360227246845691,0.6330129790793089,0.41076042324712503,0.6774670396839635,0.3846021403399246,0.45286827179506495,8.0,90.0
data_analysis-003,data_analysis,4,0.5403631449001871,0.5373274162839682,0.5798813441804189,0.9550890337313962,0.47219447133776965,0.5576123306051545,8.0,90.0
data_analysis-004,data_analysis,1,0.07831677625735754,0.6374561740417375,0.47215864910422284,0.8500679505480249,0.4673280620052289,0.5442937733147943,8.0,90.0
data_analysis-005,data_analysis,2,0.3689541299040592,0.3726972860457933,0.3412252684610513,0.6485609372243357,0.25122389905485637,0.7807374049901777,8.0,90.0
data_analysis-006,data_analysis,3,0.4357055983977951,0.5462116793878328,0.12986965078038826,0.912931166920232,0.2592711161862035,0.6086087482075548,8.0,90.0
data_analysis-007,data_analysis,4,0.6240396592773798,0.6053589081557431,0.4217275419355381,0.6707239718192939,0.385679374346693,0.827573395173083,8.0,90.0
data_analysis-008,data_analysis,1,0.17500559183290493,0.39301535546089855,0.4658773185486075,0.5768217161464606,0.1774830752760176,0.7506165600652376,8.0,90.0
data_analysis-009,data_analysis,2,0.36911903355696773,0.4614936174645019,0.07518806895433455,0.61476243438507,0.08699942595560917,0.36694385350765757,8.0,90.0
data_analysis-010,data_analysis,3,0.3949425444298305,0.7009123287740463,0.1687881901759935,0.8686548477016744,0.3125201612055769,0.6385565573137482,8.0,90.0
data_analysis-011,data_analysis,4,0.7169341492274999,0.7554606054798262,0.48583525367344665,0.8408981728341549,0.3672030181978766,0.9172323450432049,8.0,90.0
data_analysis-012,data_analysis,1,0.18045590704379716,0.4203161336891594,0.2873980265933287,0.782376965724741,0.12131363983507648,0.6874010013299547,8.0,90.0
data_analysis-013,data_analysis,2,0.20794622328849507,0.4419464530233081,0.5047250479532333,0.7190334157740003,0.16968707215727113,0.47701796773551736,8.0,90.0
